Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_CFS,4,500,3748,99.8%,0.1334,1854.12,1815.51,0.00
cpu_heavy_CFS,4,1000,7553,99.9%,0.1324,3794.70,3755.47,0.00
cpu_heavy_CFS,8,10,67,94.0%,0.1493,32.20,0.40,0.00
cpu_heavy_CFS,8,100,566,99.5%,0.1767,305.45,89.29,0.00
cpu_heavy_CFS,8,500,2759,99.8%,0.1812,1504.76,402.96,0.00
cpu_heavy_CFS,8,1000,5648,99.9%,0.1771,3117.71,809.48,0.00
cpu_heavy_CFS,16,10,88,96.6%,0.1136,41.60,0.00,0.00
cpu_heavy_CFS,16,100,539,99.8%,0.1855,265.86,20.48,0.00
cpu_heavy_CFS,16,500,2770,99.7%,0.1805,1413.04,116.13,0.00
cpu_heavy_CFS,16,1000,5473,99.9%,0.1827,2833.90,238.13,0.00
cpu_heavy_CFS,24,10,80,96.2%,0.1250,41.50,0.00,0.00
cpu_heavy_CFS,24,100,590,99.2%,0.1695,281.43,10.83,0.00
cpu_heavy_CFS,24,500,2897,99.9%,0.1726,1475.52,66.58,0.00
cpu_heavy_CFS,24,1000,5512,99.8%,0.1814,2795.88,137.49,0.00
cpu_heavy_CFS,32,10,70,92.9%,0.1429,39.40,0.00,0.00
cpu_heavy_CFS,32,100,547,99.6%,0.1828,284.43,6.27,0.00
cpu_heavy_CFS,32,500,2820,99.8%,0.1773,1416.80,45.55,0.00
cpu_heavy_CFS,32,1000,5440,99.9%,0.1838,2763.09,99.19,0.00
cpu_heavy_CFS,48,10,58,98.3%,0.1724,42.90,0.00,0.00
cpu_heavy_CFS,48,100,528,98.9%,0.1894,254.56,2.66,0.00
cpu_heavy_CFS,48,500,2841,99.9%,0.1760,1423.51,27.64,0.00
cpu_heavy_CFS,48,1000,5453,99.7%,0.1834,2692.00,57.13,0.00
cpu_heavy_FPPQ,1,10,336,99.7%,0.0298,194.10,154.80,0.00
cpu_heavy_FPPQ,1,100,3007,99.8%,0.0333,1286.86,1251.38,0.00
cpu_heavy_FPPQ,1,500,15111,100.0%,0.0331,6804.09,6768.28,0.00
cpu_heavy_FPPQ,1,1000,30056,100.0%,0.0333,13570.24,13534.75,0.00
cpu_heavy_FPPQ,2,10,121,96.7%,0.0826,46.70,21.10,0.00
cpu_heavy_FPPQ,2,100,1671,99.9%,0.0598,802.46,762.70,0.00
cpu_heavy_FPPQ,2,500,7253,100.0%,0.0689,3212.09,3176.92,0.00
cpu_heavy_FPPQ,2,1000,15464,100.0%,0.0647,6877.53,6839.87,0.00
cpu_heavy_FPPQ,4,10,84,98.8%,0.1190,45.60,8.20,0.00
cpu_heavy_FPPQ,4,100,716,99.9%,0.1397,341.27,303.91,0.00
cpu_heavy_FPPQ,4,500,3926,100.0%,0.1274,1745.34,1680.59,0.00
cpu_heavy_FPPQ,4,1000,7538,100.0%,0.1327,3367.02,3257.31,0.00
cpu_heavy_FPPQ,8,10,65,98.5%,0.1538,41.30,0.40,0.00
cpu_heavy_FPPQ,8,100,587,99.3%,0.1704,319.62,64.85,0.00
cpu_heavy_FPPQ,8,500,2755,99.5%,0.1815,1583.60,380.98,0.00
cpu_heavy_FPPQ,8,1000,5714,99.4%,0.1750,3306.17,711.91,0.00
cpu_heavy_FPPQ,16,10,57,96.5%,0.1754,38.90,0.00,0.00
cpu_heavy_FPPQ,16,100,591,99.0%,0.1692,307.31,18.41,0.00
cpu_heavy_FPPQ,16,500,2765,99.3%,0.1808,1449.17,93.33,0.00
cpu_heavy_FPPQ,16,1000,5346,99.1%,0.1871,2773.93,201.21,0.00
cpu_heavy_FPPQ,24,10,82,97.6%,0.1220,44.20,0.00,0.00
cpu_heavy_FPPQ,24,100,585,99.3%,0.1709,316.56,8.98,0.00
cpu_heavy_FPPQ,24,500,2777,99.4%,0.1801,1465.65,56.24,0.00
cpu_heavy_FPPQ,24,1000,5609,99.4%,0.1783,2862.59,113.12,0.00
cpu_heavy_FPPQ,32,10,79,94.9%,0.1266,42.80,0.00,0.00
cpu_heavy_FPPQ,32,100,560,99.3%,0.1786,276.02,5.13,0.00
cpu_heavy_FPPQ,32,500,2748,99.6%,0.1820,1432.79,37.75,0.00
cpu_heavy_FPPQ,32,1000,5397,99.3%,0.1853,2778.76,81.10,0.00
cpu_heavy_FPPQ,48,10,75,96.0%,0.1333,51.60,0.00,0.00
cpu_heavy_FPPQ,48,100,566,99.6%,0.1767,286.44,1.99,0.00
cpu_heavy_FPPQ,48,500,2790,99.4%,0.1792,1458.94,24.78,0.00
cpu_heavy_FPPQ,48,1000,5588,99.0%,0.1790,2909.50,47.57,0.00
